patient_id,session_start_time,artist_name,album_name,track_name,total_track_duration,start_position_seconds,start_date,end_date,track_listening_duration,total_track_listening_duration,end_reason,device_name
PS03,15h-51m,The Goo Goo Dolls,Dizzy up the Girl,Iris,4:49.529,0:00.000,15:54 - 02/23/2026,15:59 - 02/23/2026,4:49.757,4:49.757,skipped,iPad
PS03,15h-51m,Hozier,Hozier (Expanded Edition),Take Me to Church,4:01.689,0:01.379,15:59 - 02/23/2026,16:03 - 02/23/2026,4:01.961,4:01.961,track_end,iPad
PS03,15h-51m,Coldplay,A Head Full of Dreams,Adventure of a Lifetime,4:23.790,0:01.270,16:03 - 02/23/2026,16:07 - 02/23/2026,4:24.580,4:24.580,track_end,iPad
PS03,15h-51m,MGMT,Oracular Spectacular,Time to Pretend,4:21.000,0:02.379,16:07 - 02/23/2026,16:07 - 02/23/2026,0:02.182,0:02.182,skipped,iPad
PS03,15h-51m,Harry Styles,Harry's House,As It Was,2:47.300,0:00.620,16:07 - 02/23/2026,16:07 - 02/23/2026,0:02.184,0:02.184,skipped,iPad
PS03,15h-51m,Coldplay,Parachutes,Yellow,4:26.769,0:01.909,16:07 - 02/23/2026,16:12 - 02/23/2026,4:26.537,4:26.537,track_end,iPad
PS03,15h-51m,Harry Styles,Fine Line,Watermelon Sugar,2:53.990,0:00.650,16:12 - 02/23/2026,16:14 - 02/23/2026,2:53.016,2:53.016,skipped,iPad
PS03,15h-51m,Muse,The 2nd Law,Madness,4:41.040,0:00.580,16:14 - 02/23/2026,16:15 - 02/23/2026,0:04.388,0:04.388,skipped,iPad
PS03,15h-51m,The Chainsmokers,Memories...Do Not Open,Something Just Like This,4:07.159,0:01.510,16:15 - 02/23/2026,16:19 - 02/23/2026,4:05.929,4:05.929,track_end,iPad
PS03,15h-51m,Maroon 5,Songs About Jane: 10th Anniversary Edition,This Love,3:26.199,0:01.040,16:19 - 02/23/2026,16:22 - 02/23/2026,3:26.551,3:26.551,track_end,iPad
PS03,15h-51m,Empire Of The Sun,Walking On A Dream (10th Anniversary Edition),Walking On A Dream,3:18.439,0:00.940,16:22 - 02/23/2026,16:23 - 02/23/2026,0:28.911,0:28.911,paused_and_closed,iPad
