patient_id,session_start_time,artist_name,album_name,track_name,total_track_duration,start_position_seconds,start_date,end_date,track_listening_duration,total_track_listening_duration,end_reason,device_name
PS03,09h-30m,Empire Of The Sun,Walking On A Dream (10th Anniversary Edition),Walking On A Dream,3:18.439,0:28.519,09:30 - 02/24/2026,09:33 - 02/24/2026,2:44.514,2:44.514,skipped,iPad
PS03,09h-30m,Miley Cyrus,Endless Summer Vacation,Flowers,3:20.599,0:00.450,09:33 - 02/24/2026,09:36 - 02/24/2026,3:20.390,3:20.390,track_end,iPad
PS03,09h-30m,M83,"Hurry Up, We're Dreaming",Outro,4:07.030,0:01.790,09:36 - 02/24/2026,09:37 - 02/24/2026,1:01.181,1:01.181,skipped,iPad
PS03,09h-30m,Coldplay,Music Of The Spheres,My Universe,3:46.199,0:00.000,09:37 - 02/24/2026,09:41 - 02/24/2026,3:44.917,3:44.917,track_end,iPad
PS03,09h-30m,sombr,I Barely Know Her,back to friends,3:19.030,0:01.350,09:41 - 02/24/2026,09:43 - 02/24/2026,1:47.245,1:47.245,skipped,iPad
PS03,09h-30m,Oasis,Definitely Maybe (Deluxe Edition Remastered),Live Forever - Remastered,4:36.670,0:02.100,09:43 - 02/24/2026,09:43 - 02/24/2026,0:04.436,0:04.436,skipped,iPad
PS03,09h-30m,Maroon 5,Songs About Jane: 10th Anniversary Edition,She Will Be Loved - Radio Mix,4:19.449,0:02.839,09:43 - 02/24/2026,09:47 - 02/24/2026,4:18.439,4:18.439,track_end,iPad
PS03,09h-30m,Gotye,Making Mirrors,Somebody That I Used To Know,4:04.969,0:01.950,09:47 - 02/24/2026,09:51 - 02/24/2026,4:04.769,4:04.769,track_end,iPad
PS03,09h-30m,Coldplay,Viva La Vida or Death and All His Friends,Viva La Vida,4:02.370,0:02.100,09:51 - 02/24/2026,09:55 - 02/24/2026,4:02.635,4:02.635,track_end,iPad
PS03,09h-30m,Florence + The Machine,Lungs (Deluxe Edition),You've Got The Love,2:48.669,0:01.940,09:55 - 02/24/2026,09:56 - 02/24/2026,0:43.889,0:43.889,skipped,iPad
PS03,09h-30m,Dido,Life For Rent,White Flag,4:00.599,0:38.509,09:56 - 02/24/2026,09:56 - 02/24/2026,0:04.419,0:04.419,skipped,iPad
PS03,09h-30m,Ellie Goulding,Lights,Lights - Single Version,3:31.800,0:01.490,09:56 - 02/24/2026,10:00 - 02/24/2026,3:32.041,3:32.041,track_end,iPad
PS03,09h-30m,MGMT,Oracular Spectacular,Kids,5:02.839,0:02.100,10:00 - 02/24/2026,10:00 - 02/24/2026,0:21.982,0:21.982,skipped,iPad
PS03,09h-30m,Elton John,Cold Heart (PNAU Remix),Cold Heart - PNAU Remix,3:22.740,0:01.790,10:00 - 02/24/2026,10:03 - 02/24/2026,3:21.147,3:21.147,track_end,iPad
PS03,09h-30m,Dua Lipa,Future Nostalgia,Don't Start Now,3:03.289,0:01.189,10:03 - 02/24/2026,10:06 - 02/24/2026,3:03.942,3:03.942,track_end,iPad
PS03,09h-30m,Gnarls Barkley,St. Elsewhere,Crazy,3:02.069,0:01.300,10:06 - 02/24/2026,10:09 - 02/24/2026,3:02.656,3:02.656,track_end,iPad
PS03,09h-30m,Lykke Li,Wounded Rhymes (Anniversary Edition),I Follow Rivers - The Magician Remix,4:39.629,0:01.399,10:09 - 02/24/2026,10:10 - 02/24/2026,0:04.369,0:04.369,paused_and_closed,iPad
