patient_id,session_start_time,artist_name,album_name,track_name,total_track_duration,start_position_seconds,start_date,end_date,track_listening_duration,total_track_listening_duration,end_reason,device_name
PS03,15h-13m,Gin Blossoms,Til I Hear It From You,Til I Hear It From You,3:52.469,0:12.820,15:13 - 03/02/2026,15:13 - 03/02/2026,0:02.482,0:02.482,skipped,iPad
PS03,15h-13m,Edwin McCain,Misguided Roses,I'll Be,4:26.529,0:02.189,15:13 - 03/02/2026,15:13 - 03/02/2026,0:04.993,0:04.993,spotify_closed,iPad
