patient_id,session_start_time,artist_name,album_name,track_name,total_track_duration,start_position_seconds,start_date,end_date,track_listening_duration,total_track_listening_duration,end_reason,device_name
PS01,22h-19m,Caribou,Suddenly,Never Come Back,5:05.480,0:00.740,22:19 - 11/17/2025,22:20 - 11/17/2025,0:41.382,0:41.382,skipped,Ati’s MacBook Pro
PS01,22h-19m,Caribou,Swim,Jamelia,3:54.229,0:00.690,22:20 - 11/17/2025,22:24 - 11/17/2025,3:55.616,3:55.616,track_end,Ati’s MacBook Pro
PS01,22h-19m,Ólafur Arnalds,re:member,brot,2:54.400,0:02.040,22:24 - 11/17/2025,22:24 - 11/17/2025,0:06.519,0:06.519,seeked_forward,Ati’s MacBook Pro
PS01,22h-19m,Ólafur Arnalds,re:member,brot,2:54.400,0:29.230,22:24 - 11/17/2025,22:24 - 11/17/2025,0:06.437,0:12.957,seeked_forward,Ati’s MacBook Pro
PS01,22h-19m,Ólafur Arnalds,re:member,brot,2:54.400,1:13.219,22:24 - 11/17/2025,22:24 - 11/17/2025,0:02.136,0:15.093,skipped,Ati’s MacBook Pro
PS01,22h-19m,Moderat,II,Therapy,5:45.240,0:00.170,22:24 - 11/17/2025,22:30 - 11/17/2025,5:46.694,5:46.694,track_end,Ati’s MacBook Pro
PS01,22h-19m,Moderat,Moderat,A New Error,6:07.310,0:01.389,22:30 - 11/17/2025,22:36 - 11/17/2025,6:07.039,6:07.039,track_end,Ati’s MacBook Pro
PS01,22h-19m,BICEP,Isles,Sundial,4:35.800,0:00.650,22:36 - 11/17/2025,22:41 - 11/17/2025,4:38.001,4:38.001,track_end,Ati’s MacBook Pro
PS01,22h-19m,Ludovico Einaudi,In A Time Lapse (Deluxe Edition),Life,4:22.649,0:02.049,22:41 - 11/17/2025,22:41 - 11/17/2025,0:15.784,0:15.784,skipped,Ati’s MacBook Pro
PS01,22h-19m,Moderat,II,Therapy,5:45.240,0:00.840,22:41 - 11/17/2025,22:41 - 11/17/2025,0:06.429,5:53.123,skipped,Ati’s MacBook Pro
PS01,22h-19m,Moderat,II,Let in the Light,4:15.000,0:02.020,22:41 - 11/17/2025,22:41 - 11/17/2025,0:02.132,0:02.132,seeked_forward,Ati’s MacBook Pro
PS01,22h-19m,Moderat,II,Let in the Light,4:15.000,0:51.340,22:41 - 11/17/2025,22:41 - 11/17/2025,0:02.347,0:04.480,skipped,Ati’s MacBook Pro
PS01,22h-19m,Moderat,II,Bad Kingdom,4:22.839,0:01.379,22:41 - 11/17/2025,22:41 - 11/17/2025,0:02.223,0:02.223,skipped,Ati’s MacBook Pro
PS01,22h-19m,Moderat,II,Milk,10:04.039,0:01.550,22:41 - 11/17/2025,22:41 - 11/17/2025,0:02.115,0:02.115,seeked_forward,Ati’s MacBook Pro
PS01,22h-19m,Moderat,II,Milk,10:04.039,2:35.349,22:41 - 11/17/2025,22:41 - 11/17/2025,0:02.118,0:04.233,skipped,Ati’s MacBook Pro
PS01,22h-19m,Moderat,II,Therapy,5:45.240,0:00.970,22:41 - 11/17/2025,22:47 - 11/17/2025,5:45.534,11:38.658,track_end,Ati’s MacBook Pro
PS01,22h-19m,Moderat,II,Milk,10:04.039,0:01.040,22:47 - 11/17/2025,22:57 - 11/17/2025,10:05.460,10:09.693,track_end,Ati’s MacBook Pro
PS01,22h-19m,Moderat,II,Gita,4:22.529,0:01.919,22:57 - 11/17/2025,23:01 - 11/17/2025,3:35.960,3:35.960,long_pause,Ati’s MacBook Pro
